CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup
O[C@H]1[C@@H](N)[C@H](O)[C@@H](C)O[C@H]1O[C@H](C[C@H](O[C@@]23O)[C@@H]([C@@H](O)C2)C(=O)O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C3,Amphotericin B,0.17,1.9,0.9,4.2,0.62,2.3,10,9.3,0.03,0.11,0.085,0.0102
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)c3ccccc3,Ampicillin,2.8,19,9.1,,0.22,1.1,0.58,,0.85,0.6,0.58,
O=c1[nH]cc(cc1N)-c2ccncc2,Amrinone,8.9,,6,,1.3,,1.2,,0.89,,,
O=S(=O)(C)Nc1ccc(c(c1)OC)Nc2c(cccc3)c3nc(c24)cccc4,Amsacrine,4.3,83,16,,1.6,4.5,2.8,,0.029,0.1,0.081,
O=S(=O)(C)Nc1ccc(c(c1)OC)Nc2c(cccc3C)c3nc(c24)c(ccc4)C(=O)NC,Amsalog,2.6,66,3.7,,0.3,2,1,,0.0011,0.011,0.0038,
Oc1ccc(cc1)[C@H](O)[C@@H](O)[C@H](NC2=O)C(=O)N[C@@H]([C@H](O)C)C(=O)N(C[C@H](C)[C@@H]3O)[C@@H]3C(=O)N[C@H](O)[C@H](O)C[C@@H](C(=O)N[C@@H]([C@H](O)C)C(=O)N([C@H]24)C[C@@H](C4)O)NC(=O)c5ccc(cc5)-c6ccc(cc6)-c7ccc(cc7)OCCCCC,Anidulafungin,0.21,,1.7,,0.57,,1.8,,0.16,,,
O=c1cc(C)n(C)n1-c2ccccc2,Antipyrine,0.64,9.1,6.3,4.6,0.77,0.81,0.09,0.74,0.93,1,0.6,0.9083
O=c1nc([nH][nH]1)CN2[C@@H](c3ccc(F)cc3)[C@H](OCC2)O[C@H](C)c4cc(C(F)(F)F)cc(c4)C(F)(F)F,Aprepitant,1,18,2.6,,0.94,3.2,1,,0.05,0.002,0.0009,
[C@@]123[C@H]4O[C@@](OO1)(C)CC[C@H]3[C@H](C)CC[C@H]2[C@@H](C)[C@@H](O4)OC(=O)CCC(=O)O,Artesute,1070,212,44,,15,4,,,0.25,0.22,0.1808,
CC(C)NCC(O)COc1ccc(cc1)CC(=O)N,Atenolol,2.5,69,4.4,7.5,0.95,5.4,1.4,,0.94,0.87,0.6485,0.7837
Cc1ccccc1O[C@H](CCNC)c2ccccc2,Atomoxetine,9.3,36,7.4,,0.85,4.3,1.4,,0.02,0.11,0.03,
[C@@H]12N(C)[C@@H](CC1)CC(C2)OC(=O)C(CO)c3ccccc3,Atropine,7.6,53,,41,3.3,23,,0.55,0.61,0.77,,0.7779
Clc1ccc(cc1)Cc2nn(c(=O)c(c23)cccc3)C4CCCN(C)CC4,Azelastine,9,58,50,,15,1.8,8.1,,0.17,0.1,0.0826,
O[C@@H]1[C@@H](N(C)C)C[C@@H](C)O[C@H]1O[C@@H]([C@@]2(O)C)[C@@H](C)[C@H](O[C@@H](C3)O[C@@H](C)[C@H](O)[C@]3(C)OC)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)N(C)C[C@@H](C2)C,Azithromycin,10,34,6,,33,84,12,,0.88,0.71,0.74,
OC(=O)[C@@H](C(S1)(C)C)N(C12)C(=O)[C@H]2NC(=O)C(c3ccccc3)NC(=O)N4CCNC4=O,Azlocillin,2.5,,2.8,,0.26,,0.27,,0.65,,,
OS(=O)(=O)N1[C@@H](C)[C@@H](C1=O)NC(=O)/C(=N\OC(C)(C)C(=O)O)c2nc(N)sc2,Aztreom,1.5,15,9.4,,0.18,0.41,2.1,,0.4,0.15,0.8,0.53
C1=CC(=O)C=C([C@]12C)CC[C@@H]3[C@]2(F)[C@@H](O)C[C@@]4(C)[C@H]3C[C@H](C)[C@]4(O)C(=O)CO,Betamethasone,2.8,5,,,1.3,0.68,,,0.36,0.12,0.3,
OC(=O)CCNC(=O)c1ccccc1,Betamipron,9.2,17,8,7.9,0.28,0.23,0.4,0.23,0.17,0.14,0.59,0.28
C1CC1COCCc2ccc(cc2)OCC(O)CNC(C)C,Betaxolol,3.4,154,20,,4.8,12,8.2,,0.4,0.54,0.47,
Cc1cccc(c1)OCC(O)CNCCc2cc(OC)c(OC)cc2,Bevantolol,5.5,,45,,0.67,,4,,0.015,0.06,0.04,
c1nc[n+](n12)CC(C2)SC([C@@H]3C)=C(C([O-])=O)N([C@H]34)C(=O)[C@@H]4[C@H](O)C,Biapenem,2.5,13,4.7,5.5,0.2,0.19,0.21,0.25,0.92,0.96,0.94,
O[C@H]1C(=O)O[C@@H](OC2=O)[C@]1([C@]234)[C@](O)(C(C)(C)C)C[C@@H]3OC(=O)C4,Bilobalide,10,140,,,2.5,10,,,,,,
c1ccccc1C(O)(C(C23)CC(C2)C=C3)CCN4CCCCC4,Biperiden,12,68,27,,12,12,9.7,,0.097,0.31,0.19,
CC(C)NCC(O)COc1ccc(cc1)COCCOC(C)C,Bisoprolol,3.7,13,7.9,12,2.4,1.4,3.5,3,0.66,0.85,0.72,0.75
Clc1ccccc1C2=NCc(nnc3C)n3c(c24)sc(Br)c4,Brotizolam,2,23,11,13,0.75,3,6.1,6.5,0.092,0.22,,
CCCC(O1)O[C@@H]([C@@]12C(=O)CO)C[C@@H]3[C@]2(C)C[C@H](O)[C@H]4[C@H]3CCC=5[C@]4(C)C=CC(=O)C5,Budesonide,20,72,,,3.9,29.2,,,0.13,0.039,,
